name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,98.1,120.5,141.0,105.4
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,130.9,163.7,171.1,115.3
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,122.7,161.2,163.6,115.5
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,116.2,125.4,148.7,104.5
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,90.5,189.5,130.5,111.3
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,119.6,127.8,160.3,102.0
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,96.2,176.0,138.6,113.1
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,78.3,152.1,107.0,96.4
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,79.3,160.3,112.2,98.1
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,89.1,150.3,114.5,99.4
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,96.4,137.9,116.3,100.5
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,84.4,150.2,121.5,102.6
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,70.8,184.9,112.5,102.4
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,79.6,174.4,109.5,100.7
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,70.8,184.9,112.5,102.4
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,92.0,185.8,138.3,114.7
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,103.6,180.8,145.0,117.0
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,103.6,180.8,145.0,117.0
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,95.7,187.9,145.1,116.4
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,103.6,180.8,145.0,117.0
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,97.2,178.4,139.1,113.5
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,119.2,156.9,159.7,108.9
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,78.3,152.1,107.0,96.4
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,75.5,147.2,106.0,96.1
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,81.7,161.8,111.7,101.3
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,82.1,163.6,113.4,101.3
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,99.0,125.7,143.3,106.3
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,107.5,161.2,152.6,116.1
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,99.8,126.1,142.9,105.4
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,97.7,123.3,140.2,105.5
