name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,67.3,82.7,80.4,60.1
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,98.5,123.3,100.4,67.7
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,73.8,97.0,89.0,62.8
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,129.5,139.8,89.0,62.5
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,29.4,61.6,74.1,63.2
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,121.1,129.4,104.7,66.6
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,41.0,75.0,77.8,63.5
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,36.6,71.0,67.7,61.0
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,38.4,77.7,72.0,62.9
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,55.1,93.0,73.8,64.1
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,72.8,104.2,75.3,65.0
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,50.9,90.6,77.6,65.6
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,19.6,51.3,63.3,57.6
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,29.1,63.7,61.3,56.4
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,19.6,51.3,63.3,57.6
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,37.0,74.8,76.0,63.0
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,53.2,92.8,77.5,62.5
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,53.2,92.8,77.5,62.5
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,42.3,83.0,78.4,62.9
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,53.2,92.8,77.5,62.5
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,43.5,79.8,77.6,63.3
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,100.0,131.5,101.8,69.5
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,36.6,71.0,67.7,61.0
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,30.6,59.7,65.0,58.9
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,35.7,70.7,65.0,59.0
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,33.0,65.7,68.1,60.8
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,70.5,89.5,81.7,60.6
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,59.7,89.6,81.4,61.9
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,68.0,86.0,83.4,61.6
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,63.7,80.4,80.1,60.3
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,63.5,83.2,81.6,60.4
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,63.7,81.3,81.1,60.3
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,65.1,81.2,80.4,61.1
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,62.4,80.4,80.1,61.0
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,70.8,88.7,81.9,60.1
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,105.2,126.3,84.9,61.2
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,112.6,133.5,86.2,61.8
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,96.2,119.6,89.8,61.3
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,93.5,116.3,95.7,63.5
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,93.5,116.7,90.9,61.6
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,77.7,94.4,81.6,60.3
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,80.5,96.6,81.8,60.4
Пресновка,55.0909817,69.0272651,764,111.0,7.84,22.0,73.1,89.9,82.0,60.5
Бостандык,53.948696,71.406944,464,93.0,41.48,-6.0,57.0,92.9,73.9,63.9
Кишкенеколь,53.6357326,72.3411085,6590,139.0,31.34,69.0,36.6,71.0,67.7,61.0
Акжаркын,53.6813187,71.3078338,468,129.0,22.97,15.0,34.7,68.8,69.3,61.2
Камышлово,54.782906,69.674385,203,141.0,37.09,35.0,67.5,84.4,82.7,61.2
Рузаевка,52.821907,66.952431,3339,222.0,0.47,16.0,120.6,130.2,107.9,67.6
Сивковка,52.848736,66.981255,354,223.0,0.48,7.0,120.6,130.2,107.9,67.6
Ломоносовка,52.803749,66.465874,687,198.0,0.65,25.0,105.0,130.9,103.2,69.4
Ставрополка,52.835926,66.559067,571,190.0,1.02,22.0,110.2,129.7,103.4,69.0
Белое,54.936493,69.203117,924,136.0,4.93,41.0,73.7,89.9,83.5,61.4
Новоникольское,55.02475,69.493172,122,137.0,16.44,47.0,74.5,89.2,81.9,60.0
Пеньково,54.965187,69.244598,1079,134.0,7.63,45.0,72.7,88.2,82.6,60.6
Тахтаброд,52.633469,67.579048,1027,269.0,0.6,7.0,132.9,135.2,103.8,65.9
Бесколь,54.775146,69.097794,13149,111.0,3.44,17.0,67.6,87.2,84.0,62.2
Чапаево,54.631702,69.152771,374,142.0,12.16,45.0,66.3,87.4,84.7,63.2
Кырымбет,52.459782,67.76239,30,334.0,12.74,41.0,132.2,137.5,100.6,65.8
Ковыльное,52.5746,67.687767,361,301.0,0.44,16.0,135.7,137.1,103.4,65.9
Сокологоровка,52.507038,67.873611,287,375.0,9.74,66.0,135.9,139.3,100.3,66.0
