name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,75.0,92.1,148.5,111.0
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,71.9,90.0,149.9,101.1
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,72.1,94.7,152.3,107.5
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,89.5,96.6,144.1,101.2
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,48.6,101.7,121.6,103.7
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,97.5,104.1,161.8,103.0
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,52.0,95.2,127.5,104.0
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,64.8,125.8,128.5,115.8
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,59.6,120.5,131.2,114.7
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,65.0,109.7,132.4,114.9
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,70.4,100.7,133.4,115.2
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,61.9,110.2,136.7,115.5
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,49.0,128.1,118.7,108.0
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,56.7,124.3,118.0,108.6
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,49.0,128.1,118.7,108.0
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,47.8,96.6,124.0,102.9
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,51.1,89.2,125.5,101.2
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,51.1,89.2,125.5,101.2
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,49.1,96.5,127.6,102.4
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,51.1,89.2,125.5,101.2
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,51.1,93.7,127.3,103.8
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,74.9,98.6,145.7,99.4
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,64.8,125.8,128.5,115.8
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,64.4,125.4,126.9,115.1
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,58.5,115.9,119.7,108.5
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,56.6,112.7,121.5,108.4
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,77.8,98.9,158.7,117.7
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,67.3,101.0,146.2,111.2
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,75.3,95.1,156.9,115.7
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,71.9,90.8,146.8,110.5
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,71.9,94.3,152.3,112.6
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,72.4,92.3,149.8,111.4
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,72.1,89.9,144.8,109.9
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,70.9,91.4,143.9,109.7
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,82.7,103.6,159.6,117.2
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,77.4,93.0,137.5,99.2
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,81.0,96.0,140.0,100.3
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,73.9,91.9,144.8,98.9
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,73.3,91.2,150.0,99.5
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,73.8,92.1,146.1,99.0
