name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,117.8,144.7,154.8,115.7
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,125.3,156.8,197.3,133.0
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,111.8,146.8,167.7,118.4
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,149.0,160.9,188.1,132.1
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,78.8,165.1,139.7,119.1
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,147.4,157.4,215.2,136.9
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,93.6,171.2,145.8,118.9
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,68.8,133.7,121.0,109.0
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,65.9,133.2,126.8,110.9
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,80.7,136.1,128.0,111.1
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,99.0,141.6,128.8,111.3
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,79.8,142.0,132.7,112.1
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,54.0,141.0,124.0,112.9
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,68.1,149.2,120.9,111.3
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,54.0,141.0,124.0,112.9
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,85.9,173.6,145.8,120.9
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,94.5,164.9,146.4,118.1
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,94.5,164.9,146.4,118.1
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,83.3,163.6,146.2,117.3
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,94.5,164.9,146.4,118.1
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,92.6,170.1,145.7,118.9
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,127.1,167.2,207.0,141.2
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,68.8,133.7,121.0,109.0
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,69.4,135.2,119.4,108.2
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,72.0,142.5,123.4,111.8
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,71.0,141.6,125.4,112.0
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,110.7,140.7,147.5,109.4
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,97.4,146.2,147.1,111.9
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,115.5,146.0,150.7,111.2
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,115.3,145.5,154.5,116.3
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,112.2,147.0,153.8,113.7
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,115.2,147.0,154.4,114.8
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,115.9,144.6,152.1,115.5
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,112.6,145.1,151.4,115.4
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,110.0,137.8,146.5,107.6
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,136.1,163.5,181.0,130.5
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,138.1,163.7,183.1,131.1
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,134.5,167.2,191.1,130.4
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,128.7,160.2,195.5,129.7
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,133.8,166.9,192.3,130.2
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,120.3,146.1,150.2,111.1
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,121.3,145.5,150.2,110.9
Пресновка,55.0909817,69.0272651,764,111.0,7.84,22.0,119.3,146.7,150.5,111.1
Бостандык,53.948696,71.406944,464,93.0,41.48,-6.0,84.4,137.5,129.0,111.7
Кишкенеколь,53.6357326,72.3411085,6590,139.0,31.34,69.0,68.8,133.7,121.0,109.0
Акжаркын,53.6813187,71.3078338,468,129.0,22.97,15.0,68.4,135.6,125.4,110.7
Камышлово,54.782906,69.674385,203,141.0,37.09,35.0,117.1,146.5,154.0,114.0
Рузаевка,52.821907,66.952431,3339,222.0,0.47,16.0,148.9,160.7,220.8,138.4
Сивковка,52.848736,66.981255,354,223.0,0.48,7.0,148.9,160.7,220.8,138.4
Ломоносовка,52.803749,66.465874,687,198.0,0.65,25.0,132.3,164.9,207.6,139.6
Ставрополка,52.835926,66.559067,571,190.0,1.02,22.0,137.5,161.9,208.9,139.5
Белое,54.936493,69.203117,924,136.0,4.93,41.0,119.0,145.1,151.6,111.5
Новоникольское,55.02475,69.493172,122,137.0,16.44,47.0,123.0,147.3,153.6,112.5
Пеньково,54.965187,69.244598,1079,134.0,7.63,45.0,120.5,146.2,151.7,111.4
Тахтаброд,52.633469,67.579048,1027,269.0,0.6,7.0,152.3,154.9,212.6,135.0
