name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,121.1,148.8,113.0,84.5
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,121.6,152.1,128.6,86.7
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,107.5,141.3,120.0,84.7
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,136.0,146.8,119.5,84.0
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,64.0,134.0,104.2,88.8
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,146.3,156.3,135.9,86.5
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,80.4,147.0,111.4,90.9
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,43.4,84.3,92.8,83.6
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,47.7,96.5,96.0,83.9
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,62.9,106.1,97.1,84.3
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,85.4,122.1,98.2,84.8
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,69.4,123.5,101.1,85.4
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,31.5,82.4,92.7,84.4
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,43.7,95.8,90.4,83.2
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,31.5,82.4,92.7,84.4
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,77.1,155.7,106.0,87.9
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,91.9,160.4,111.1,89.6
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,91.9,160.4,111.1,89.6
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,77.9,152.9,111.8,89.7
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,91.9,160.4,111.1,89.6
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,79.4,145.8,111.8,91.2
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,116.7,153.5,134.9,92.1
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,43.4,84.3,92.8,83.6
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,45.2,88.1,90.7,82.3
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,46.9,92.8,92.4,83.7
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,47.3,94.3,94.1,84.0
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,112.3,142.6,112.2,83.2
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,98.2,147.3,113.2,86.1
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,114.7,145.0,115.0,84.8
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,118.8,150.0,111.2,83.7
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,113.2,148.4,115.2,85.1
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,117.4,149.8,114.3,85.0
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,120.0,149.7,110.1,83.6
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,116.1,149.6,109.5,83.5
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,107.4,134.5,104.7,76.9
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,126.7,152.3,119.7,86.3
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,127.3,150.8,118.6,84.9
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,127.6,158.5,127.8,87.2
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,127.0,158.1,130.0,86.2
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,127.0,158.5,128.2,86.8
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,116.1,141.0,104.8,77.5
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,117.1,140.5,104.6,77.2
Пресновка,55.0909817,69.0272651,764,111.0,7.84,22.0,115.2,141.7,109.5,80.8
Бостандык,53.948696,71.406944,464,93.0,41.48,-6.0,67.0,109.1,97.2,84.1
Кишкенеколь,53.6357326,72.3411085,6590,139.0,31.34,69.0,43.4,84.3,92.8,83.6
Акжаркын,53.6813187,71.3078338,468,129.0,22.97,15.0,46.1,91.4,94.1,83.0
Камышлово,54.782906,69.674385,203,141.0,37.09,35.0,119.1,149.0,116.2,86.0
Рузаевка,52.821907,66.952431,3339,222.0,0.47,16.0,142.7,154.0,138.3,86.7
Сивковка,52.848736,66.981255,354,223.0,0.48,7.0,142.7,154.0,138.3,86.7
Ломоносовка,52.803749,66.465874,687,198.0,0.65,25.0,122.2,152.4,133.5,89.8
Ставрополка,52.835926,66.559067,571,190.0,1.02,22.0,130.7,153.8,134.0,89.4
Белое,54.936493,69.203117,924,136.0,4.93,41.0,117.9,143.8,115.5,84.9
Новоникольское,55.02475,69.493172,122,137.0,16.44,47.0,119.9,143.5,114.3,83.7
Пеньково,54.965187,69.244598,1079,134.0,7.63,45.0,117.5,142.5,113.9,83.6
Тахтаброд,52.633469,67.579048,1027,269.0,0.6,7.0,153.1,155.8,135.4,86.0
Бесколь,54.775146,69.097794,13149,111.0,3.44,17.0,113.5,146.3,116.2,86.1
Чапаево,54.631702,69.152771,374,142.0,12.16,45.0,114.4,150.8,118.5,88.3
Кырымбет,52.459782,67.76239,30,334.0,12.74,41.0,150.5,156.6,133.2,87.2
Ковыльное,52.5746,67.687767,361,301.0,0.44,16.0,153.5,155.0,135.1,86.1
Сокологоровка,52.507038,67.873611,287,375.0,9.74,66.0,152.0,155.8,132.7,87.3
Привольное,52.6008281,67.8253627,7,315.0,0.39,11.0,153.8,155.4,134.9,86.3
Аканбурлык,52.6149159,68.049995,223,364.0,0.44,8.0,157.1,155.1,133.9,86.4
Акшокы,52.68491,67.880547,21,369.0,9.09,57.0,158.8,154.2,135.7,85.6
Красново,52.5966847,67.907696,19,323.0,0.27,2.0,155.3,155.2,134.4,86.4
Куспек,52.742474,67.998177,568,368.0,12.91,21.0,160.1,153.5,135.0,85.5
Тимирязево,53.7481615,66.4954458,3998,172.0,46.32,39.0,114.5,141.6,117.4,83.6
Вишневка,54.9407291,69.0741755,111,100.0,1.61,9.0,114.7,145.0,115.0,84.8
Якорь,54.959206,69.034576,2060,102.0,3.8,9.0,112.3,143.9,112.9,83.4
Затон,54.8549472,68.9933737,174,107.0,3.31,14.0,111.9,145.7,114.7,84.9
Кривоозёрка,54.8717546,68.99711,142,103.0,3.25,7.0,111.9,145.7,114.7,84.9
Тепличное,54.8329505,69.0915477,785,100.0,2.48,7.0,113.5,146.3,116.2,86.1
Прибрежное,54.819756,69.090256,1793,103.0,2.7,11.0,113.5,146.3,116.2,86.1
Знаменское,54.901402,69.597755,932,145.0,29.97,48.0,117.4,146.8,115.5,85.1
Михайловка,54.892441,69.462555,82,138.0,21.36,41.0,115.8,145.6,115.9,85.1
Байсал,54.895233,69.553108,128,137.0,27.13,40.0,117.4,146.8,115.5,85.1
Ленинское,54.473019,69.182556,1083,142.0,25.44,42.0,109.2,153.4,118.1,88.8
Смирново,54.51453,69.419189,5650,137.0,33.39,40.0,109.2,151.3,118.2,88.8
Рощинское,54.058678,69.143158,419,138.0,42.28,3.0,97.8,153.0,113.1,90.6
Архангельское,54.7801156,68.9461997,845,112.0,1.79,17.0,110.4,146.5,115.5,86.0
Новокаменка,54.711693,68.983734,995,105.0,1.08,11.0,110.8,146.8,117.8,87.9
Петерфельд,54.912373,68.887779,1579,129.0,11.48,33.0,110.8,145.5,114.2,84.7
