name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,127.8,157.0,163.9,122.6
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,107.3,134.3,159.4,107.5
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,117.6,154.5,162.7,114.8
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,129.6,139.9,169.7,119.2
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,91.7,192.0,141.2,120.4
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,123.1,131.6,177.6,113.1
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,99.7,182.4,144.9,118.2
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,98.1,190.5,140.7,126.8
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,88.7,179.4,141.8,124.0
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,99.4,167.7,140.4,121.9
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,108.0,154.6,138.6,119.7
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,93.4,166.3,139.6,117.9
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,89.1,232.8,145.8,132.7
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,105.6,231.5,147.5,135.7
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,89.1,232.8,145.8,132.7
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,93.6,189.1,144.4,119.8
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,106.4,185.7,147.6,119.1
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,106.4,185.7,147.6,119.1
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,97.4,191.4,147.7,118.5
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,106.4,185.7,147.6,119.1
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,100.9,185.3,145.0,118.3
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,95.0,125.0,156.7,106.9
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,98.1,190.5,140.7,126.8
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,101.0,196.9,142.9,129.5
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,102.6,203.1,144.1,130.6
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,97.8,194.9,141.8,126.6
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,133.8,170.1,173.5,128.7
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,115.8,173.7,156.0,118.7
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,131.5,166.3,168.8,124.5
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,126.4,159.7,162.5,122.4
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,125.9,165.1,165.9,122.7
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,127.2,162.3,164.8,122.5
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,124.6,155.5,160.2,121.7
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,121.5,156.5,159.4,121.5
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,138.1,172.9,180.0,132.2
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,125.8,151.2,168.3,121.4
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,124.3,147.3,168.6,120.8
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,123.3,153.3,171.8,117.3
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,116.5,145.0,168.6,111.8
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,121.8,151.9,171.4,116.1
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,144.7,175.8,185.6,137.2
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,146.0,175.2,186.3,137.6
Пресновка,55.0909817,69.0272651,764,111.0,7.84,22.0,140.0,172.1,179.6,132.6
Бостандык,53.948696,71.406944,464,93.0,41.48,-6.0,101.9,166.0,140.5,121.6
Кишкенеколь,53.6357326,72.3411085,6590,139.0,31.34,69.0,98.1,190.5,140.7,126.8
Акжаркын,53.6813187,71.3078338,468,129.0,22.97,15.0,93.1,184.7,141.8,125.2
Камышлово,54.782906,69.674385,203,141.0,37.09,35.0,125.6,157.2,162.6,120.4
Рузаевка,52.821907,66.952431,3339,222.0,0.47,16.0,117.5,126.8,171.6,107.6
Сивковка,52.848736,66.981255,354,223.0,0.48,7.0,117.5,126.8,171.6,107.6
Ломоносовка,52.803749,66.465874,687,198.0,0.65,25.0,98.5,122.8,155.3,104.5
Ставрополка,52.835926,66.559067,571,190.0,1.02,22.0,105.9,124.6,157.3,105.0
Белое,54.936493,69.203117,924,136.0,4.93,41.0,133.5,162.7,168.6,124.0
Новоникольское,55.02475,69.493172,122,137.0,16.44,47.0,139.4,166.8,171.8,125.9
Пеньково,54.965187,69.244598,1079,134.0,7.63,45.0,137.4,166.7,173.5,127.4
Тахтаброд,52.633469,67.579048,1027,269.0,0.6,7.0,129.5,131.8,180.4,114.6
Бесколь,54.775146,69.097794,13149,111.0,3.44,17.0,126.9,163.6,164.5,121.8
