name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,59.3,72.9,101.9,76.1
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,72.8,91.1,124.1,83.7
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,55.2,72.6,106.3,75.0
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,88.7,95.7,135.2,95.0
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,33.8,70.9,99.9,85.2
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,110.6,118.2,165.9,105.6
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,37.7,68.9,98.9,80.7
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,52.0,101.0,97.8,88.1
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,48.4,97.9,98.5,86.2
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,59.2,99.8,98.4,85.4
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,69.3,99.2,98.2,84.8
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,50.0,88.9,98.0,82.8
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,24.7,64.6,97.8,89.0
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,35.0,76.8,98.8,90.9
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,24.7,64.6,97.8,89.0
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,32.7,66.0,100.3,83.2
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,42.9,74.8,98.6,79.6
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,42.9,74.8,98.6,79.6
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,32.8,64.5,96.9,77.8
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,42.9,74.8,98.6,79.6
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,37.3,68.5,98.4,80.3
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,91.8,120.8,147.9,100.9
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,52.0,101.0,97.8,88.1
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,51.3,100.0,98.5,89.3
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,45.3,89.6,96.9,87.8
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,47.0,93.6,96.4,86.0
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,47.3,60.1,95.8,71.1
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,41.1,61.6,94.0,71.5
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,51.0,64.5,97.8,72.1
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,58.5,73.8,102.4,77.1
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,52.4,68.7,100.7,74.5
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,55.9,71.3,101.4,75.4
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,59.5,74.2,102.3,77.7
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,56.6,72.9,102.0,77.8
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,51.5,64.6,100.7,74.0
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,74.1,89.0,123.4,89.0
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,77.1,91.4,128.7,92.2
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,68.2,84.8,124.4,84.9
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,69.2,86.2,125.5,83.3
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,68.0,84.8,124.7,84.5
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,51.9,63.0,99.3,73.4
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,52.3,62.8,99.6,73.6
Пресновка,55.0909817,69.0272651,764,111.0,7.84,22.0,51.4,63.3,98.4,72.6
Бостандык,53.948696,71.406944,464,93.0,41.48,-6.0,60.9,99.2,98.7,85.4
Кишкенеколь,53.6357326,72.3411085,6590,139.0,31.34,69.0,52.0,101.0,97.8,88.1
Акжаркын,53.6813187,71.3078338,468,129.0,22.97,15.0,49.4,98.1,98.3,86.8
Камышлово,54.782906,69.674385,203,141.0,37.09,35.0,56.1,70.2,100.8,74.6
Рузаевка,52.821907,66.952431,3339,222.0,0.47,16.0,101.9,110.0,156.2,98.0
Сивковка,52.848736,66.981255,354,223.0,0.48,7.0,101.9,110.0,156.2,98.0
Ломоносовка,52.803749,66.465874,687,198.0,0.65,25.0,90.3,112.5,141.0,94.8
Ставрополка,52.835926,66.559067,571,190.0,1.02,22.0,95.4,112.3,143.0,95.4
Белое,54.936493,69.203117,924,136.0,4.93,41.0,54.3,66.2,99.0,72.8
Новоникольское,55.02475,69.493172,122,137.0,16.44,47.0,57.6,69.0,101.3,74.2
Пеньково,54.965187,69.244598,1079,134.0,7.63,45.0,54.0,65.5,99.4,72.9
Тахтаброд,52.633469,67.579048,1027,269.0,0.6,7.0,114.6,116.6,167.1,106.1
Бесколь,54.775146,69.097794,13149,111.0,3.44,17.0,49.7,64.1,97.2,72.0
Чапаево,54.631702,69.152771,374,142.0,12.16,45.0,49.8,65.6,97.6,72.8
Кырымбет,52.459782,67.76239,30,334.0,12.74,41.0,112.7,117.3,164.7,107.9
Ковыльное,52.5746,67.687767,361,301.0,0.44,16.0,114.2,115.4,166.0,105.8
Сокологоровка,52.507038,67.873611,287,375.0,9.74,66.0,114.2,117.0,164.1,107.9
Привольное,52.6008281,67.8253627,7,315.0,0.39,11.0,112.3,113.5,164.9,105.5
Аканбурлык,52.6149159,68.049995,223,364.0,0.44,8.0,112.2,110.8,163.5,105.4
Акшокы,52.68491,67.880547,21,369.0,9.09,57.0,111.9,108.6,163.7,103.3
Красново,52.5966847,67.907696,19,323.0,0.27,2.0,112.1,112.1,164.1,105.5
Куспек,52.742474,67.998177,568,368.0,12.91,21.0,111.4,106.8,162.6,103.0
Тимирязево,53.7481615,66.4954458,3998,172.0,46.32,39.0,61.9,76.6,106.3,75.7
Вишневка,54.9407291,69.0741755,111,100.0,1.61,9.0,51.0,64.5,97.8,72.1
Якорь,54.959206,69.034576,2060,102.0,3.8,9.0,48.7,62.5,97.2,71.8
Затон,54.8549472,68.9933737,174,107.0,3.31,14.0,47.8,62.2,97.0,71.7
Кривоозёрка,54.8717546,68.99711,142,103.0,3.25,7.0,47.8,62.2,97.0,71.7
Тепличное,54.8329505,69.0915477,785,100.0,2.48,7.0,49.7,64.1,97.2,72.0
Прибрежное,54.819756,69.090256,1793,103.0,2.7,11.0,49.7,64.1,97.2,72.0
Знаменское,54.901402,69.597755,932,145.0,29.97,48.0,54.8,68.6,100.8,74.3
Михайловка,54.892441,69.462555,82,138.0,21.36,41.0,53.6,67.5,100.9,74.1
Байсал,54.895233,69.553108,128,137.0,27.13,40.0,54.8,68.6,100.8,74.3
Ленинское,54.473019,69.182556,1083,142.0,25.44,42.0,47.6,66.8,97.3,73.2
Смирново,54.51453,69.419189,5650,137.0,33.39,40.0,50.2,69.7,98.6,74.1
Рощинское,54.058678,69.143158,419,138.0,42.28,3.0,47.2,73.9,96.0,76.9
Архангельское,54.7801156,68.9461997,845,112.0,1.79,17.0,46.9,62.3,96.0,71.5
Новокаменка,54.711693,68.983734,995,105.0,1.08,11.0,48.3,64.0,96.7,72.1
Петерфельд,54.912373,68.887779,1579,129.0,11.48,33.0,46.7,61.3,96.0,71.2
Подгорное,54.7128156,69.0232742,506,113.0,0.38,12.0,48.3,64.0,96.7,72.1
Боголюбово,54.6174536,68.7288167,1210,111.0,2.59,10.0,45.7,62.5,94.9,71.5
Приишимка,54.611111,68.855843,376,109.0,0.35,11.0,46.9,63.4,96.0,72.1
Водопроводное,54.555283,68.728447,343,117.0,0.77,17.0,45.7,62.5,94.9,71.5
Красная Горка,54.5550524,68.7689396,331,130.0,0.67,28.0,46.3,63.1,95.4,71.8
Новоникольское,54.527195,68.686737,1474,113.0,1.15,12.0,43.6,62.2,94.4,71.5
Золотоноша,52.826229,67.170753,30,303.0,11.82,79.0,104.6,108.3,158.4,98.6
Червонное,53.2771558,66.7276043,1075,195.0,10.34,40.0,64.0,86.4,118.5,81.6
Бахмут,53.9553438,69.6563407,154,147.0,9.36,11.0,40.8,72.4,100.3,81.7
Виноградовка,53.852486,69.885887,181,152.0,2.92,5.0,44.0,82.3,101.1,84.6
Мироновка,53.840008,69.839554,520,154.0,1.12,6.0,33.8,70.9,99.9,85.2
Чермошнянка,53.956871,69.776093,617,145.0,3.94,9.0,41.1,73.5,101.1,82.4
Вишневка,53.928841,70.116203,645,145.0,12.94,5.0,48.7,86.8,100.7,85.2
Зелёный Гай,53.9415782,70.4052003,1323,131.0,8.93,26.0,32.2,76.2,99.0,85.0
Ясная Поляна,53.948624,70.280006,1368,138.0,17.04,33.0,36.9,78.9,99.7,85.2
Новоприречное,53.795761,69.71405,311,161.0,1.16,6.0,34.4,70.3,99.9,84.7
