iso,season,risk_score,idx_glaze,idx_blizzard,idx_snowload,idx_cold
KZ-ATY,2025,19.9,35.0,25.0,9.3,0.0
KZ-YUZ,2025,15.2,47.5,0.0,4.7,0.0
KZ-AKM,2025,22.6,22.5,10.0,36.0,28.1
KZ-ALM,2025,13.0,32.5,0.0,16.0,0.0
KZ-SEV,2025,12.7,25.5,0.0,25.3,0.0
KZ-ALA,2025,21.9,49.0,0.0,36.0,0.0
KZ-ZAP,2025,16.6,44.5,5.0,8.7,0.0
KZ-AST,2025,24.0,22.0,25.0,30.0,19.4
KZ-PAV,2026,33.8,42.5,10.0,34.7,55.6
KZ-ZHA,2026,19.5,55.5,5.0,6.7,0.0
KZ-KUS,2026,27.0,50.5,0.0,20.7,38.7
KZ-MAN,2026,22.6,64.5,5.0,8.7,0.0
KZ-KAR,2026,29.0,61.0,15.0,10.0,20.9
KZ-KZY,2026,19.7,51.5,10.0,6.0,0.0
KZ-VOS,2026,29.3,30.5,10.0,28.0,57.7
KZ-AKT,2026,26.0,59.5,15.0,15.3,2.9
KZ-ATY,2026,20.0,34.0,30.0,4.0,0.0
KZ-YUZ,2026,16.4,49.5,0.0,8.0,0.0
KZ-AKM,2026,49.3,56.5,45.0,38.7,55.7
KZ-ALM,2026,16.5,50.0,0.0,7.3,0.0
KZ-SEV,2026,35.5,35.0,40.0,19.3,45.9
KZ-ALA,2026,20.9,63.5,0.0,9.3,0.0
KZ-ZAP,2026,18.7,48.5,5.0,8.7,4.6
KZ-AST,2026,35.6,55.5,10.0,36.7,43.1
