name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,131.4,161.4,167.6,125.3
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,153.7,192.4,239.9,161.7
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,140.9,185.1,220.3,155.5
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,171.3,185.0,227.1,159.6
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,70.5,147.7,161.6,137.8
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,167.2,178.7,245.9,156.5
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,89.9,164.5,169.1,138.0
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,20.0,38.9,126.1,113.6
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,32.0,64.6,134.5,117.6
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,54.7,92.3,136.8,118.7
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,92.2,131.9,138.6,119.7
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,69.1,122.9,144.9,122.4
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,26.7,69.9,136.8,124.5
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,31.2,68.3,133.0,122.3
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,26.7,69.9,136.8,124.5
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,86.8,175.3,175.2,145.3
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,108.5,189.4,183.1,147.7
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,108.5,189.4,183.1,147.7
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,88.6,174.0,180.2,144.6
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,108.5,189.4,183.1,147.7
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,90.2,165.6,170.1,138.8
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,132.5,174.3,232.0,158.3
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,20.0,38.9,126.1,113.6
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,23.5,45.9,124.8,113.2
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,35.6,70.5,132.3,119.9
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,37.2,74.1,135.1,120.6
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,123.6,157.1,177.9,131.9
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,114.2,171.2,183.8,139.8
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,121.2,153.2,175.9,129.8
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,131.3,165.8,163.6,123.2
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,118.9,155.9,172.1,127.3
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,125.3,159.8,169.6,126.1
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,133.0,165.9,157.1,119.3
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,128.8,166.0,155.7,118.7
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,132.5,165.9,197.9,145.3
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,160.3,192.5,222.8,160.7
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,161.7,191.5,223.4,160.0
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,161.7,201.0,238.8,163.0
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,162.7,202.5,248.1,164.5
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,161.4,201.4,241.4,163.5
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,120.8,146.7,175.3,129.6
Налобино,55.2455423,68.7915428,920,147.0,29.83,55.0,122.6,147.0,176.6,130.4
