name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,53.4,65.5,136.9,102.3
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,54.4,68.1,160.5,108.2
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,52.6,69.2,146.4,103.4
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,74.9,80.9,172.8,121.4
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,35.3,73.9,149.6,127.6
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,66.9,71.5,174.4,111.0
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,36.9,67.4,146.9,119.9
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,57.6,111.9,171.1,154.1
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,49.7,100.5,167.0,146.0
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,53.7,90.6,164.9,143.1
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,59.8,85.5,162.2,140.1
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,46.0,81.8,157.3,132.9
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,40.3,105.3,159.0,144.7
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,49.5,108.5,160.7,147.9
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,40.3,105.3,159.0,144.7
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,35.8,72.3,146.5,121.5
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,40.4,70.5,144.1,116.3
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,40.4,70.5,144.1,116.3
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,34.7,68.2,143.5,115.2
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,40.4,70.5,144.1,116.3
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,36.8,67.5,145.8,118.9
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,51.4,67.7,154.2,105.2
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,57.6,111.9,171.1,154.1
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,56.2,109.5,170.3,154.4
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,50.1,99.2,163.1,147.9
Аккудук,53.655956,70.810074,851,145.0,4.59,27.0,47.1,93.9,162.5,145.0
Мамлютка,54.9376951,68.5386509,6944,136.0,32.62,38.0,53.4,67.9,136.0,100.9
Покровка,54.3010634,68.3552371,1643,116.0,0.44,9.0,45.1,67.7,144.1,109.6
Петропавловск,54.8668104,69.1334984,222703,138.0,2.03,44.0,52.2,66.0,136.7,100.9
Булаево,54.896652,70.447189,8550,135.0,72.27,50.0,50.9,64.3,137.7,103.7
Токуши,54.85788,69.717262,1634,141.0,37.93,35.0,49.3,64.6,136.6,101.0
Полудино,54.862617,69.919205,1221,130.0,47.55,46.0,50.0,63.8,136.5,101.5
Чистое,54.915241,70.724121,125,118.0,86.6,37.0,52.9,66.0,138.4,105.1
Каракога,54.904881,70.816818,1726,127.0,92.43,46.0,52.1,67.1,138.6,105.6
Пресновка,54.6686113,67.1452217,6202,149.0,68.19,35.0,61.1,76.5,143.2,105.2
Айыртау,53.1585244,68.333889,478,321.0,15.92,52.0,63.7,76.5,164.2,118.4
Лобаново,53.092365,68.433052,1056,382.0,17.39,58.0,65.6,77.8,168.1,120.4
Баянтай,53.261093,67.929214,270,309.0,6.39,60.0,57.0,70.9,166.0,113.3
Казанка,53.3201718,67.449134,544,222.0,0.57,15.0,55.6,69.2,167.3,111.0
Шукирлик,53.2726138,67.7886323,162,270.0,10.23,24.0,56.5,70.5,166.4,112.7
Глубокое,55.1557926,68.9474596,298,134.0,15.84,45.0,55.7,67.7,133.5,98.7
