name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Тимирязево,53.7481615,66.4954458,3998,172.0,46.32,39.0,54.3,67.1,114.0,81.1
Вишневка,54.9407291,69.0741755,111,100.0,1.61,9.0,53.9,68.2,112.1,82.7
Якорь,54.959206,69.034576,2060,102.0,3.8,9.0,55.3,70.8,112.1,82.8
Затон,54.8549472,68.9933737,174,107.0,3.31,14.0,53.0,69.1,112.0,82.8
Кривоозёрка,54.8717546,68.99711,142,103.0,3.25,7.0,53.0,69.1,112.0,82.8
Тепличное,54.8329505,69.0915477,785,100.0,2.48,7.0,49.0,63.2,111.1,82.3
Прибрежное,54.819756,69.090256,1793,103.0,2.7,11.0,49.0,63.2,111.1,82.3
Знаменское,54.901402,69.597755,932,145.0,29.97,48.0,47.3,59.1,111.8,82.4
Михайловка,54.892441,69.462555,82,138.0,21.36,41.0,48.9,61.5,112.0,82.3
Байсал,54.895233,69.553108,128,137.0,27.13,40.0,47.3,59.1,111.8,82.4
Ленинское,54.473019,69.182556,1083,142.0,25.44,42.0,24.3,34.1,103.7,78.0
Смирново,54.51453,69.419189,5650,137.0,33.39,40.0,20.6,28.6,103.3,77.6
Рощинское,54.058678,69.143158,419,138.0,42.28,3.0,13.0,20.3,81.7,65.5
Архангельское,54.7801156,68.9461997,845,112.0,1.79,17.0,49.3,65.4,110.6,82.3
Новокаменка,54.711693,68.983734,995,105.0,1.08,11.0,45.2,59.9,109.5,81.6
Петерфельд,54.912373,68.887779,1579,129.0,11.48,33.0,53.2,69.9,112.0,83.1
Подгорное,54.7128156,69.0232742,506,113.0,0.38,12.0,45.2,59.9,109.5,81.6
Боголюбово,54.6174536,68.7288167,1210,111.0,2.59,10.0,43.3,59.3,107.3,80.9
Приишимка,54.611111,68.855843,376,109.0,0.35,11.0,40.4,54.7,106.6,80.1
Водопроводное,54.555283,68.728447,343,117.0,0.77,17.0,43.3,59.3,107.3,80.9
Красная Горка,54.5550524,68.7689396,331,130.0,0.67,28.0,41.9,57.2,107.0,80.5
Новоникольское,54.527195,68.686737,1474,113.0,1.15,12.0,35.4,50.6,105.0,79.5
Золотоноша,52.826229,67.170753,30,303.0,11.82,79.0,48.6,50.3,120.1,74.7
Червонное,53.2771558,66.7276043,1075,195.0,10.34,40.0,40.7,55.0,115.5,79.6
Бахмут,53.9553438,69.6563407,154,147.0,9.36,11.0,11.2,19.8,76.6,62.4
Виноградовка,53.852486,69.885887,181,152.0,2.92,5.0,9.5,17.9,71.7,60.0
Мироновка,53.840008,69.839554,520,154.0,1.12,6.0,9.1,19.0,68.7,58.6
Чермошнянка,53.956871,69.776093,617,145.0,3.94,9.0,11.4,20.4,76.4,62.3
Вишневка,53.928841,70.116203,645,145.0,12.94,5.0,9.6,17.1,70.5,59.6
Зелёный Гай,53.9415782,70.4052003,1323,131.0,8.93,26.0,9.4,22.3,67.3,57.8
Ясная Поляна,53.948624,70.280006,1368,138.0,17.04,33.0,9.4,20.0,68.6,58.6
Новоприречное,53.795761,69.71405,311,161.0,1.16,6.0,9.1,18.7,69.5,58.9
Кантемировское,54.145618,70.074486,133,141.0,21.28,5.0,12.3,21.3,81.0,64.2
Кирово,54.149075,70.3215452,480,135.0,26.05,30.0,13.1,21.1,79.7,63.6
Котовское,54.296768,70.103928,76,135.0,37.04,-1.0,12.3,19.8,89.7,69.8
Многоцветное,53.886616,69.540169,407,160.0,15.52,4.0,9.9,19.1,73.5,60.8
Тендик,53.992543,69.8575413,312,140.0,0.48,5.0,10.9,19.5,76.3,62.2
Заречное,53.770763,69.769211,219,165.0,1.68,9.0,9.1,19.0,68.7,58.6
Надеждинка,53.913223,69.860298,44,144.0,1.7,1.0,9.5,17.9,71.7,60.0
Октябрьское,53.71431,69.668915,46,172.0,0.77,10.0,9.3,18.6,68.5,59.0
Тапшил,53.573334,70.037659,10,207.0,28.69,48.0,9.9,20.3,65.3,57.9
Большой Изюм,53.719046,69.63546,1191,174.0,0.42,8.0,9.3,18.4,69.0,59.2
Драгомировка,53.7520402,69.3697642,522,181.0,17.68,14.0,10.0,20.5,71.2,59.4
Иван-Город,53.7731746,69.3236261,231,179.0,21.26,12.0,10.4,21.1,72.0,59.7
Обуховка,53.679047,69.398209,362,185.0,14.88,16.0,9.7,19.8,70.1,59.5
Белоярка,53.783981,70.242401,109,155.0,26.61,13.0,9.0,19.3,65.0,57.1
Донецкое,53.805855,70.097076,553,153.0,17.18,8.0,9.0,17.8,65.9,57.5
Краснокиевка,53.746407,70.227455,343,149.0,27.91,4.0,9.2,20.3,64.3,57.0
Новогречановка,53.862225,70.424812,382,122.0,12.63,17.0,9.4,22.3,67.3,57.8
Новодворовка,53.849495,70.310371,145,140.0,18.97,35.0,9.3,19.5,63.9,56.4
Подольское,53.829334,70.079849,463,152.0,14.93,10.0,9.0,17.8,65.9,57.5
Агроном,54.190063,70.534271,99,133.0,26.21,34.0,14.5,20.9,80.9,64.8
Ильич,54.142712,70.545845,366,132.0,20.91,33.0,13.7,21.2,76.6,62.2
Молодогвардейское,54.0950466,70.7952992,418,126.0,18.92,40.0,13.3,22.3,73.4,60.9
Возвышенка,54.437664,70.941399,1932,127.0,57.57,41.0,13.9,20.9,82.3,66.1
Золотая Нива,54.2091188,70.8748844,264,127.0,32.51,41.0,12.8,20.6,76.0,62.7
