name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,1.4,"[{""name"": ""Осадки Nov–Mar 164 мм"", ""impact"": 2.58}, {""name"": ""Осадки 123% нормы"", ""impact"": 2.1}, {""name"": ""Снегозапас 157% нормы"", ""impact"": -1.06}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.03}]"
Новоишимское,53.2025913,66.7929531,4.5,"[{""name"": ""Население 7474"", ""impact"": 2.26}, {""name"": ""Высота 183 м"", ""impact"": -1.93}, {""name"": ""Осадки Nov–Mar 159 мм"", ""impact"": 1.64}, {""name"": ""Река в 2.4 км"", ""impact"": 1.58}]"
Сергеевка,53.880951,67.415863,15.5,"[{""name"": ""Население 8112"", ""impact"": 3.13}, {""name"": ""Осадки Nov–Mar 163 мм"", ""impact"": 2.28}, {""name"": ""Снегозапас 154% нормы"", ""impact"": -1.16}, {""name"": ""Снегозапас 118 мм"", ""impact"": 1.15}]"
Имантау,52.9767986,68.3662059,5.1,"[{""name"": ""Высота 331 м"", ""impact"": -1.93}, {""name"": ""Осадки Nov–Mar 170 мм"", ""impact"": 1.88}, {""name"": ""Осадки 119% нормы"", ""impact"": 1.63}, {""name"": ""Снегозапас 140% нормы"", ""impact"": 1.13}]"
Тайынша,53.847736,69.761436,6.3,"[{""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.11}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.66}, {""name"": ""Река в 2.1 км"", ""impact"": 1.54}, {""name"": ""Население 13037"", ""impact"": 1.47}]"
Чистополье,52.5617672,67.250694,4.5,"[{""name"": ""Высота 268 м"", ""impact"": -2.31}, {""name"": ""Население 2078"", ""impact"": 2.13}, {""name"": ""Осадки Nov–Mar 178 мм"", ""impact"": 1.69}, {""name"": ""Снегозапас 132% нормы"", ""impact"": 1.49}]"
Леонидовка,53.967728,69.529213,5.3,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.53}, {""name"": ""Осадки 118% нормы"", ""impact"": 2.01}, {""name"": ""Снегозапас 182% нормы"", ""impact"": -1.38}, {""name"": ""Превышение над рекой 14 м"", ""impact"": 0.79}]"
Талшик,53.6433864,71.8767545,35.6,"[{""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.47}, {""name"": ""Осадки 127% нормы"", ""impact"": 2.03}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 1.91}, {""name"": ""Высота 77 м"", ""impact"": 1.66}]"
Казанское,53.758011,71.667969,13.8,"[{""name"": ""Осадки Nov–Mar 142 мм"", ""impact"": 2.4}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 2.31}, {""name"": ""Осадки 124% нормы"", ""impact"": 2.08}, {""name"": ""Высота 111 м"", ""impact"": 1.38}]"
Аксай,53.8858349,71.7522188,62.0,"[{""name"": ""Осадки Nov–Mar 140 мм"", ""impact"": 2.92}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 2.63}, {""name"": ""Осадки 122% нормы"", ""impact"": 2.16}, {""name"": ""Высота 103 м"", ""impact"": 1.43}]"
Восходское,54.0110223,71.7696188,42.5,"[{""name"": ""Превышение над рекой -29 м"", ""impact"": 2.56}, {""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 2.53}, {""name"": ""Осадки 120% нормы"", ""impact"": 2.13}, {""name"": ""Высота 85 м"", ""impact"": 1.59}]"
Баймырза,54.1895179,71.7826683,0.3,"[{""name"": ""Осадки 118% нормы"", ""impact"": 2.1}, {""name"": ""Осадки Nov–Mar 140 мм"", ""impact"": 2.1}, {""name"": ""Снегозапас 166% нормы"", ""impact"": -1.01}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -0.93}]"
Амандык,53.467529,70.401955,0.1,"[{""name"": ""Осадки 133% нормы"", ""impact"": 2.0}, {""name"": ""Осадки Nov–Mar 146 мм"", ""impact"": 1.37}, {""name"": ""Снегозапас 233% нормы"", ""impact"": -1.07}, {""name"": ""Высота 190 м"", ""impact"": -0.83}]"
Жанадаур,53.39994,70.478836,0.1,"[{""name"": ""Осадки 136% нормы"", ""impact"": 1.99}, {""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 1.61}, {""name"": ""Снегозапас 232% нормы"", ""impact"": -1.0}, {""name"": ""Высота 217 м"", ""impact"": -0.94}]"
Ильичёвка,53.502098,70.388092,0.1,"[{""name"": ""Осадки 133% нормы"", ""impact"": 2.0}, {""name"": ""Осадки Nov–Mar 146 мм"", ""impact"": 1.37}, {""name"": ""Снегозапас 233% нормы"", ""impact"": -1.02}, {""name"": ""Высота 211 м"", ""impact"": -0.83}]"
Келлеровка,53.8399016,69.3021305,0.2,"[{""name"": ""Осадки 120% нормы"", ""impact"": 1.99}, {""name"": ""Осадки Nov–Mar 144 мм"", ""impact"": 1.46}, {""name"": ""Превышение над рекой 5 м"", ""impact"": 1.23}, {""name"": ""Высота 169 м"", ""impact"": -1.21}]"
Черниговское,53.9016285,69.0069999,39.5,"[{""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 3.04}, {""name"": ""Превышение над рекой -55 м"", ""impact"": 2.23}, {""name"": ""Осадки 119% нормы"", ""impact"": 2.16}, {""name"": ""Снегозапас 186% нормы"", ""impact"": -0.78}]"
Красная Поляна,53.941536,68.982285,17.6,"[{""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 2.61}, {""name"": ""Превышение над рекой -1 м"", ""impact"": 2.14}, {""name"": ""Осадки 119% нормы"", ""impact"": 2.13}, {""name"": ""Снегозапас 186% нормы"", ""impact"": -0.98}]"
Доброжановка,53.966927,69.049385,43.5,"[{""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 3.05}, {""name"": ""Превышение над рекой -15 м"", ""impact"": 2.16}, {""name"": ""Осадки 118% нормы"", ""impact"": 2.16}, {""name"": ""Высота 149 м"", ""impact"": 0.79}]"
Глубокое,53.856407,69.045097,5.6,"[{""name"": ""Превышение над рекой 2 м"", ""impact"": 2.34}, {""name"": ""Осадки 119% нормы"", ""impact"": 2.13}, {""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 2.0}, {""name"": ""Высота 169 м"", ""impact"": -1.23}]"
Нагорное,53.961876,69.410736,9.8,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.95}, {""name"": ""Осадки 118% нормы"", ""impact"": 2.06}, {""name"": ""Снегозапас 185% нормы"", ""impact"": -1.17}, {""name"": ""Высота 149 м"", ""impact"": 0.97}]"
Дружба,52.586021,66.491188,0.2,"[{""name"": ""Снегозапас 125% нормы"", ""impact"": 2.03}, {""name"": ""Осадки Nov–Mar 157 мм"", ""impact"": 1.72}, {""name"": ""Высота 201 м"", ""impact"": -1.55}, {""name"": ""Осадки 107% нормы"", ""impact"": 0.94}]"
Дауит,53.6091041,71.4755852,52.7,"[{""name"": ""Превышение над рекой -3 м"", ""impact"": 2.74}, {""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.62}, {""name"": ""Высота 117 м"", ""impact"": 1.73}, {""name"": ""Осадки 127% нормы"", ""impact"": 1.67}]"
Алкатерек,53.45146,71.244014,0.1,"[{""name"": ""Осадки 130% нормы"", ""impact"": 2.01}, {""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 1.4}, {""name"": ""Снегозапас 197% нормы"", ""impact"": -1.16}, {""name"": ""Высота 219 м"", ""impact"": -1.01}]"
Целинное,53.5573909,70.7104133,2.6,"[{""name"": ""Осадки Nov–Mar 144 мм"", ""impact"": 2.92}, {""name"": ""Осадки 131% нормы"", ""impact"": 1.67}, {""name"": ""Снегозапас 203% нормы"", ""impact"": -1.19}, {""name"": ""Высота 164 м"", ""impact"": 0.76}]"
