name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,1.4,"[{""name"": ""Осадки Nov–Mar 168 мм"", ""impact"": 2.58}, {""name"": ""Осадки 125% нормы"", ""impact"": 2.1}, {""name"": ""Снегозапас 161% нормы"", ""impact"": -1.06}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.03}]"
Новоишимское,53.2025913,66.7929531,0.5,"[{""name"": ""Население 7474"", ""impact"": 2.77}, {""name"": ""Высота 183 м"", ""impact"": -2.26}, {""name"": ""Осадки Nov–Mar 240 мм"", ""impact"": 1.35}, {""name"": ""Река в 2.4 км"", ""impact"": 1.31}]"
Сергеевка,53.880951,67.415863,14.5,"[{""name"": ""Население 8112"", ""impact"": 3.09}, {""name"": ""Осадки Nov–Mar 220 мм"", ""impact"": 2.28}, {""name"": ""Снегозапас 185% нормы"", ""impact"": -1.16}, {""name"": ""Снегозапас 141 мм"", ""impact"": 1.08}]"
Имантау,52.9767986,68.3662059,0.5,"[{""name"": ""Высота 331 м"", ""impact"": -1.93}, {""name"": ""Осадки 160% нормы"", ""impact"": 1.6}, {""name"": ""Осадки Nov–Mar 227 мм"", ""impact"": 1.54}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.3}]"
Тайынша,53.847736,69.761436,20.2,"[{""name"": ""Осадки Nov–Mar 162 мм"", ""impact"": 2.35}, {""name"": ""Река в 2.1 км"", ""impact"": 1.78}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.75}, {""name"": ""Снегозапас 70 мм"", ""impact"": -1.59}]"
Чистополье,52.5617672,67.250694,0.2,"[{""name"": ""Население 2078"", ""impact"": 2.91}, {""name"": ""Высота 268 м"", ""impact"": -2.32}, {""name"": ""Осадки Nov–Mar 246 мм"", ""impact"": 1.32}, {""name"": ""Снегозапас 179% нормы"", ""impact"": -1.15}]"
Леонидовка,53.967728,69.529213,1.0,"[{""name"": ""Осадки Nov–Mar 169 мм"", ""impact"": 2.37}, {""name"": ""Осадки 138% нормы"", ""impact"": 2.0}, {""name"": ""Снегозапас 164% нормы"", ""impact"": -1.3}, {""name"": ""Снегозапас 90 мм"", ""impact"": -0.99}]"
Талшик,53.6433864,71.8767545,17.4,"[{""name"": ""Осадки Nov–Mar 126 мм"", ""impact"": 2.6}, {""name"": ""Осадки 114% нормы"", ""impact"": 2.05}, {""name"": ""Снегозапас 20 мм"", ""impact"": -1.6}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 1.41}]"
Казанское,53.758011,71.667969,47.4,"[{""name"": ""Осадки Nov–Mar 134 мм"", ""impact"": 2.74}, {""name"": ""Осадки 118% нормы"", ""impact"": 2.17}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.86}, {""name"": ""Высота 111 м"", ""impact"": 1.33}]"
Аксай,53.8858349,71.7522188,34.5,"[{""name"": ""Осадки Nov–Mar 137 мм"", ""impact"": 2.86}, {""name"": ""Осадки 119% нормы"", ""impact"": 2.24}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 1.67}, {""name"": ""Высота 103 м"", ""impact"": 1.15}]"
Восходское,54.0110223,71.7696188,38.3,"[{""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 2.71}, {""name"": ""Осадки 120% нормы"", ""impact"": 2.2}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 1.71}, {""name"": ""Высота 85 м"", ""impact"": 1.33}]"
Баймырза,54.1895179,71.7826683,2.9,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.34}, {""name"": ""Осадки 122% нормы"", ""impact"": 2.3}, {""name"": ""Снегозапас 123% нормы"", ""impact"": 1.28}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -0.97}]"
Амандык,53.467529,70.401955,0.9,"[{""name"": ""Осадки 124% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 137 мм"", ""impact"": 1.67}, {""name"": ""Снегозапас 70% нормы"", ""impact"": 1.43}, {""name"": ""Высота 190 м"", ""impact"": -0.82}]"
Жанадаур,53.39994,70.478836,1.2,"[{""name"": ""Осадки 122% нормы"", ""impact"": 2.17}, {""name"": ""Осадки Nov–Mar 133 мм"", ""impact"": 1.76}, {""name"": ""Снегозапас 68% нормы"", ""impact"": 1.18}, {""name"": ""Высота 217 м"", ""impact"": -0.78}]"
Ильичёвка,53.502098,70.388092,0.6,"[{""name"": ""Осадки 124% нормы"", ""impact"": 2.18}, {""name"": ""Осадки Nov–Mar 137 мм"", ""impact"": 1.62}, {""name"": ""Снегозапас 70% нормы"", ""impact"": 1.32}, {""name"": ""Высота 211 м"", ""impact"": -0.82}]"
