name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,19.1,"[{""name"": ""Осадки Nov–Mar 155 мм"", ""impact"": 2.82}, {""name"": ""Осадки 116% нормы"", ""impact"": 2.32}, {""name"": ""Снегозапас 145% нормы"", ""impact"": 1.34}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -0.94}]"
Новоишимское,53.2025913,66.7929531,0.5,"[{""name"": ""Население 7474"", ""impact"": 2.77}, {""name"": ""Высота 183 м"", ""impact"": -2.26}, {""name"": ""Осадки Nov–Mar 197 мм"", ""impact"": 1.35}, {""name"": ""Река в 2.4 км"", ""impact"": 1.31}]"
Сергеевка,53.880951,67.415863,5.2,"[{""name"": ""Население 8112"", ""impact"": 3.18}, {""name"": ""Осадки Nov–Mar 168 мм"", ""impact"": 2.16}, {""name"": ""Осадки 118% нормы"", ""impact"": 0.73}, {""name"": ""Превышение над рекой 29 м"", ""impact"": -0.34}]"
Имантау,52.9767986,68.3662059,0.5,"[{""name"": ""Высота 331 м"", ""impact"": -1.93}, {""name"": ""Осадки 132% нормы"", ""impact"": 1.6}, {""name"": ""Осадки Nov–Mar 188 мм"", ""impact"": 1.54}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.3}]"
Тайынша,53.847736,69.761436,6.3,"[{""name"": ""Осадки Nov–Mar 140 мм"", ""impact"": 2.11}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.66}, {""name"": ""Река в 2.1 км"", ""impact"": 1.54}, {""name"": ""Население 13037"", ""impact"": 1.47}]"
Чистополье,52.5617672,67.250694,0.2,"[{""name"": ""Население 2078"", ""impact"": 2.91}, {""name"": ""Высота 268 м"", ""impact"": -2.32}, {""name"": ""Осадки Nov–Mar 215 мм"", ""impact"": 1.32}, {""name"": ""Снегозапас 157% нормы"", ""impact"": -1.15}]"
Леонидовка,53.967728,69.529213,1.0,"[{""name"": ""Осадки Nov–Mar 146 мм"", ""impact"": 2.37}, {""name"": ""Осадки 119% нормы"", ""impact"": 2.0}, {""name"": ""Снегозапас 171% нормы"", ""impact"": -1.3}, {""name"": ""Снегозапас 94 мм"", ""impact"": -0.99}]"
Талшик,53.6433864,71.8767545,6.5,"[{""name"": ""Осадки 109% нормы"", ""impact"": 2.23}, {""name"": ""Снегозапас 69 мм"", ""impact"": -1.6}, {""name"": ""Осадки Nov–Mar 121 мм"", ""impact"": 1.46}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 1.45}]"
Казанское,53.758011,71.667969,47.4,"[{""name"": ""Осадки Nov–Mar 127 мм"", ""impact"": 2.74}, {""name"": ""Осадки 111% нормы"", ""impact"": 2.17}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.86}, {""name"": ""Высота 111 м"", ""impact"": 1.33}]"
Аксай,53.8858349,71.7522188,34.5,"[{""name"": ""Осадки Nov–Mar 128 мм"", ""impact"": 2.86}, {""name"": ""Осадки 111% нормы"", ""impact"": 2.24}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 1.67}, {""name"": ""Высота 103 м"", ""impact"": 1.15}]"
Восходское,54.0110223,71.7696188,87.3,"[{""name"": ""Осадки Nov–Mar 129 мм"", ""impact"": 2.84}, {""name"": ""Осадки 111% нормы"", ""impact"": 2.2}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 2.17}, {""name"": ""Высота 85 м"", ""impact"": 1.59}]"
Баймырза,54.1895179,71.7826683,2.9,"[{""name"": ""Осадки Nov–Mar 133 мм"", ""impact"": 2.34}, {""name"": ""Осадки 112% нормы"", ""impact"": 2.3}, {""name"": ""Снегозапас 142% нормы"", ""impact"": 1.29}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -0.97}]"
Амандык,53.467529,70.401955,0.9,"[{""name"": ""Осадки 113% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 124 мм"", ""impact"": 1.67}, {""name"": ""Снегозапас 141% нормы"", ""impact"": 1.43}, {""name"": ""Высота 190 м"", ""impact"": -0.82}]"
Жанадаур,53.39994,70.478836,0.1,"[{""name"": ""Осадки 111% нормы"", ""impact"": 2.15}, {""name"": ""Осадки Nov–Mar 121 мм"", ""impact"": 0.85}, {""name"": ""Превышение над рекой 75 м"", ""impact"": -0.71}, {""name"": ""Снегозапас 149% нормы"", ""impact"": -0.6}]"
Ильичёвка,53.502098,70.388092,0.6,"[{""name"": ""Осадки 113% нормы"", ""impact"": 2.18}, {""name"": ""Осадки Nov–Mar 124 мм"", ""impact"": 1.62}, {""name"": ""Снегозапас 141% нормы"", ""impact"": 1.32}, {""name"": ""Высота 211 м"", ""impact"": -0.82}]"
Келлеровка,53.8399016,69.3021305,0.2,"[{""name"": ""Осадки 121% нормы"", ""impact"": 1.99}, {""name"": ""Осадки Nov–Mar 146 мм"", ""impact"": 1.46}, {""name"": ""Превышение над рекой 5 м"", ""impact"": 1.23}, {""name"": ""Высота 169 м"", ""impact"": -1.21}]"
Черниговское,53.9016285,69.0069999,13.6,"[{""name"": ""Осадки Nov–Mar 146 мм"", ""impact"": 2.76}, {""name"": ""Осадки 118% нормы"", ""impact"": 2.14}, {""name"": ""Превышение над рекой -55 м"", ""impact"": 1.93}, {""name"": ""Снегозапас 94 мм"", ""impact"": -0.84}]"
