name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Ганькино,54.8872159,70.1104856,105,136.0,54.64,50.0,83.6,102.7,150.4,112.4
Новоишимское,53.2025913,66.7929531,7474,183.0,2.4,41.0,112.0,140.1,183.6,123.8
Сергеевка,53.880951,67.415863,8112,151.0,1.15,29.0,87.3,114.7,162.8,114.9
Имантау,52.9767986,68.3662059,1877,331.0,10.84,6.0,121.9,131.6,173.7,122.1
Тайынша,53.847736,69.761436,13037,159.0,2.06,7.0,29.4,61.6,127.6,108.9
Чистополье,52.5617672,67.250694,2078,268.0,0.52,23.0,150.5,160.8,213.6,135.9
Леонидовка,53.967728,69.529213,559,150.0,16.85,14.0,40.2,73.6,138.3,112.8
Талшик,53.6433864,71.8767545,3922,77.0,21.25,-37.0,33.8,65.7,121.2,109.2
Казанское,53.758011,71.667969,378,111.0,23.12,-3.0,33.1,66.9,125.5,109.7
Аксай,53.8858349,71.7522188,63,103.0,38.27,-11.0,43.1,72.7,126.5,109.8
Восходское,54.0110223,71.7696188,324,85.0,52.03,-29.0,55.6,79.6,126.9,109.6
Баймырза,54.1895179,71.7826683,215,111.0,65.94,61.0,43.2,76.8,131.0,110.6
Амандык,53.467529,70.401955,423,190.0,25.66,48.0,17.1,44.6,114.5,104.2
Жанадаур,53.39994,70.478836,72,217.0,28.77,75.0,23.9,52.4,112.4,103.4
Ильичёвка,53.502098,70.388092,446,211.0,23.84,69.0,17.1,44.6,114.5,104.2
Келлеровка,53.8399016,69.3021305,2487,169.0,25.81,5.0,34.0,68.7,132.4,109.9
Черниговское,53.9016285,69.0069999,92,158.0,45.82,-55.0,44.5,77.7,140.2,113.2
Красная Поляна,53.941536,68.982285,576,155.0,44.31,-1.0,44.5,77.7,140.2,113.2
Доброжановка,53.966927,69.049385,77,149.0,47.47,-15.0,39.7,78.0,142.1,114.0
Глубокое,53.856407,69.045097,16,169.0,41.64,2.0,44.5,77.7,140.2,113.2
Нагорное,53.961876,69.410736,48,149.0,24.6,14.0,39.2,72.0,137.9,112.5
Дружба,52.586021,66.491188,567,201.0,0.83,25.0,123.9,163.1,196.9,134.3
Дауит,53.6091041,71.4755852,612,117.0,9.42,-3.0,33.8,65.7,121.2,109.2
Алкатерек,53.45146,71.244014,539,219.0,21.35,90.0,31.6,61.6,119.1,108.0
Целинное,53.5573909,70.7104133,26,164.0,8.36,22.0,28.4,56.2,118.1,107.1
