name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,6.0,"[{""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.63}, {""name"": ""Осадки 105% нормы"", ""impact"": 2.32}, {""name"": ""Снегозапас 120% нормы"", ""impact"": 1.12}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.11}]"
Новоишимское,53.2025913,66.7929531,0.5,"[{""name"": ""Население 7474"", ""impact"": 2.77}, {""name"": ""Высота 183 м"", ""impact"": -2.26}, {""name"": ""Осадки Nov–Mar 171 мм"", ""impact"": 1.35}, {""name"": ""Река в 2.4 км"", ""impact"": 1.31}]"
Сергеевка,53.880951,67.415863,14.5,"[{""name"": ""Население 8112"", ""impact"": 3.09}, {""name"": ""Осадки Nov–Mar 164 мм"", ""impact"": 2.28}, {""name"": ""Снегозапас 161% нормы"", ""impact"": -1.16}, {""name"": ""Снегозапас 123 мм"", ""impact"": 1.08}]"
Имантау,52.9767986,68.3662059,6.4,"[{""name"": ""Высота 331 м"", ""impact"": -1.93}, {""name"": ""Осадки Nov–Mar 149 мм"", ""impact"": 1.88}, {""name"": ""Осадки 104% нормы"", ""impact"": 1.63}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.18}]"
Тайынша,53.847736,69.761436,6.3,"[{""name"": ""Осадки Nov–Mar 130 мм"", ""impact"": 2.11}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.66}, {""name"": ""Река в 2.1 км"", ""impact"": 1.54}, {""name"": ""Население 13037"", ""impact"": 1.47}]"
Чистополье,52.5617672,67.250694,7.4,"[{""name"": ""Высота 268 м"", ""impact"": -2.3}, {""name"": ""Население 2078"", ""impact"": 2.13}, {""name"": ""Осадки Nov–Mar 160 мм"", ""impact"": 1.69}, {""name"": ""Снегозапас 128% нормы"", ""impact"": 1.49}]"
Леонидовка,53.967728,69.529213,4.9,"[{""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 2.53}, {""name"": ""Осадки 113% нормы"", ""impact"": 2.01}, {""name"": ""Снегозапас 176% нормы"", ""impact"": -1.33}, {""name"": ""Превышение над рекой 14 м"", ""impact"": 0.79}]"
Талшик,53.6433864,71.8767545,0.1,"[{""name"": ""Осадки 96% нормы"", ""impact"": 2.21}, {""name"": ""Осадки Nov–Mar 107 мм"", ""impact"": -1.39}, {""name"": ""Снегозапас 78 мм"", ""impact"": -1.28}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 1.04}]"
Казанское,53.758011,71.667969,1.1,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.26}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 2.13}, {""name"": ""Высота 111 м"", ""impact"": 1.07}, {""name"": ""Снегозапас 79 мм"", ""impact"": -0.91}]"
Аксай,53.8858349,71.7522188,2.9,"[{""name"": ""Осадки 99% нормы"", ""impact"": 2.33}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 2.18}, {""name"": ""Высота 103 м"", ""impact"": 0.79}, {""name"": ""Снегозапас 89 мм"", ""impact"": -0.76}]"
Восходское,54.0110223,71.7696188,49.9,"[{""name"": ""Осадки 100% нормы"", ""impact"": 2.38}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 2.26}, {""name"": ""Высота 85 м"", ""impact"": 1.42}, {""name"": ""Осадки Nov–Mar 116 мм"", ""impact"": 1.16}]"
Баймырза,54.1895179,71.7826683,0.1,"[{""name"": ""Осадки 103% нормы"", ""impact"": 2.28}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -1.0}, {""name"": ""Осадки Nov–Mar 122 мм"", ""impact"": 0.98}, {""name"": ""Снегозапас 150% нормы"", ""impact"": -0.65}]"
Амандык,53.467529,70.401955,0.0,"[{""name"": ""Осадки 102% нормы"", ""impact"": 2.2}, {""name"": ""Снегозапас 185% нормы"", ""impact"": -1.02}, {""name"": ""Превышение над рекой 48 м"", ""impact"": -0.57}, {""name"": ""Снегозапас 71 мм"", ""impact"": -0.46}]"
Жанадаур,53.39994,70.478836,0.0,"[{""name"": ""Осадки 101% нормы"", ""impact"": 2.17}, {""name"": ""Осадки Nov–Mar 110 мм"", ""impact"": -0.87}, {""name"": ""Снегозапас 174% нормы"", ""impact"": -0.8}, {""name"": ""Превышение над рекой 75 м"", ""impact"": -0.52}]"
Ильичёвка,53.502098,70.388092,0.0,"[{""name"": ""Осадки 102% нормы"", ""impact"": 2.2}, {""name"": ""Снегозапас 185% нормы"", ""impact"": -0.97}, {""name"": ""Превышение над рекой 69 м"", ""impact"": -0.57}, {""name"": ""Снегозапас 71 мм"", ""impact"": -0.46}]"
Келлеровка,53.8399016,69.3021305,0.2,"[{""name"": ""Осадки 115% нормы"", ""impact"": 1.99}, {""name"": ""Осадки Nov–Mar 138 мм"", ""impact"": 1.46}, {""name"": ""Превышение над рекой 5 м"", ""impact"": 1.23}, {""name"": ""Высота 169 м"", ""impact"": -1.21}]"
Черниговское,53.9016285,69.0069999,39.5,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 3.04}, {""name"": ""Превышение над рекой -55 м"", ""impact"": 2.23}, {""name"": ""Осадки 117% нормы"", ""impact"": 2.16}, {""name"": ""Снегозапас 181% нормы"", ""impact"": -0.77}]"
Красная Поляна,53.941536,68.982285,17.6,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.6}, {""name"": ""Превышение над рекой -1 м"", ""impact"": 2.14}, {""name"": ""Осадки 117% нормы"", ""impact"": 2.13}, {""name"": ""Снегозапас 181% нормы"", ""impact"": -0.97}]"
Доброжановка,53.966927,69.049385,43.5,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 3.05}, {""name"": ""Превышение над рекой -15 м"", ""impact"": 2.16}, {""name"": ""Осадки 116% нормы"", ""impact"": 2.16}, {""name"": ""Высота 149 м"", ""impact"": 0.77}]"
Глубокое,53.856407,69.045097,5.6,"[{""name"": ""Превышение над рекой 2 м"", ""impact"": 2.34}, {""name"": ""Осадки 117% нормы"", ""impact"": 2.13}, {""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 1.99}, {""name"": ""Высота 169 м"", ""impact"": -1.23}]"
Нагорное,53.961876,69.410736,15.5,"[{""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 2.95}, {""name"": ""Осадки 114% нормы"", ""impact"": 2.06}, {""name"": ""Снегозапас 178% нормы"", ""impact"": -1.19}, {""name"": ""Высота 149 м"", ""impact"": 1.02}]"
Дружба,52.586021,66.491188,0.0,"[{""name"": ""Высота 201 м"", ""impact"": -2.16}, {""name"": ""Снегозапас 157% нормы"", ""impact"": -1.59}, {""name"": ""Осадки Nov–Mar 160 мм"", ""impact"": 1.36}, {""name"": ""Снегозапас 119 мм"", ""impact"": 0.96}]"
Дауит,53.6091041,71.4755852,0.1,"[{""name"": ""Осадки 96% нормы"", ""impact"": 1.85}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.83}, {""name"": ""Осадки Nov–Mar 107 мм"", ""impact"": -1.53}, {""name"": ""Снегозапас 78 мм"", ""impact"": -0.95}]"
Алкатерек,53.45146,71.244014,0.0,"[{""name"": ""Осадки 96% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 106 мм"", ""impact"": -0.86}, {""name"": ""Снегозапас 147% нормы"", ""impact"": -0.61}, {""name"": ""Снегозапас 76 мм"", ""impact"": -0.57}]"
Целинное,53.5573909,70.7104133,0.0,"[{""name"": ""Осадки 101% нормы"", ""impact"": 1.85}, {""name"": ""Осадки Nov–Mar 112 мм"", ""impact"": -1.21}, {""name"": ""Снегозапас 162% нормы"", ""impact"": -0.93}, {""name"": ""Снегозапас 82 мм"", ""impact"": -0.49}]"
Аккудук,53.655956,70.810074,0.0,"[{""name"": ""Осадки 101% нормы"", ""impact"": 1.81}, {""name"": ""Снегозапас 164% нормы"", ""impact"": -1.3}, {""name"": ""Снегозапас 82 мм"", ""impact"": -0.97}, {""name"": ""Превышение над рекой 27 м"", ""impact"": -0.7}]"
Мамлютка,54.9376951,68.5386509,9.2,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.32}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.13}, {""name"": ""Население 6944"", ""impact"": 1.27}, {""name"": ""Превышение над рекой 38 м"", ""impact"": -1.1}]"
Покровка,54.3010634,68.3552371,22.0,"[{""name"": ""Население 1643"", ""impact"": 3.06}, {""name"": ""Осадки Nov–Mar 153 мм"", ""impact"": 1.99}, {""name"": ""Высота 116 м"", ""impact"": 1.76}, {""name"": ""Снегозапас 161% нормы"", ""impact"": -0.84}]"
Петропавловск,54.8668104,69.1334984,99.0,"[{""name"": ""Население 222703"", ""impact"": 3.89}, {""name"": ""Река в 2.0 км"", ""impact"": 3.1}, {""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.53}, {""name"": ""Высота 138 м"", ""impact"": 1.63}]"
Булаево,54.896652,70.447189,3.1,"[{""name"": ""Осадки Nov–Mar 140 мм"", ""impact"": 2.31}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.13}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.09}, {""name"": ""Снегозапас 123% нормы"", ""impact"": 0.96}]"
Токуши,54.85788,69.717262,3.1,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.35}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.13}, {""name"": ""Превышение над рекой 35 м"", ""impact"": -1.08}, {""name"": ""Снегозапас 125% нормы"", ""impact"": 0.99}]"
Полудино,54.862617,69.919205,3.1,"[{""name"": ""Осадки Nov–Mar 142 мм"", ""impact"": 2.31}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.13}, {""name"": ""Превышение над рекой 46 м"", ""impact"": -1.08}, {""name"": ""Снегозапас 124% нормы"", ""impact"": 0.98}]"
Чистое,54.915241,70.724121,6.0,"[{""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.63}, {""name"": ""Осадки 107% нормы"", ""impact"": 2.32}, {""name"": ""Превышение над рекой 37 м"", ""impact"": -1.18}, {""name"": ""Снегозапас 123% нормы"", ""impact"": 1.13}]"
Каракога,54.904881,70.816818,3.1,"[{""name"": ""Осадки Nov–Mar 141 мм"", ""impact"": 2.31}, {""name"": ""Осадки 107% нормы"", ""impact"": 2.13}, {""name"": ""Превышение над рекой 46 м"", ""impact"": -1.09}, {""name"": ""Снегозапас 123% нормы"", ""impact"": 0.98}]"
Пресновка,54.6686113,67.1452217,9.4,"[{""name"": ""Осадки Nov–Mar 147 мм"", ""impact"": 2.33}, {""name"": ""Осадки 108% нормы"", ""impact"": 2.13}, {""name"": ""Население 6202"", ""impact"": 1.18}, {""name"": ""Снегозапас 128% нормы"", ""impact"": 1.04}]"
Айыртау,53.1585244,68.333889,4.9,"[{""name"": ""Осадки 109% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 151 мм"", ""impact"": 1.81}, {""name"": ""Снегозапас 139% нормы"", ""impact"": 1.77}, {""name"": ""Высота 321 м"", ""impact"": -1.26}]"
Лобаново,53.092365,68.433052,1.0,"[{""name"": ""Осадки 106% нормы"", ""impact"": 2.19}, {""name"": ""Осадки Nov–Mar 149 мм"", ""impact"": 1.71}, {""name"": ""Снегозапас 133% нормы"", ""impact"": 1.44}, {""name"": ""Высота 382 м"", ""impact"": -1.26}]"
Баянтай,53.261093,67.929214,0.1,"[{""name"": ""Осадки 112% нормы"", ""impact"": 1.68}, {""name"": ""Осадки Nov–Mar 164 мм"", ""impact"": 1.64}, {""name"": ""Высота 309 м"", ""impact"": -1.34}, {""name"": ""Снегозапас 121 мм"", ""impact"": 0.85}]"
Казанка,53.3201718,67.449134,0.0,"[{""name"": ""Высота 222 м"", ""impact"": -2.34}, {""name"": ""Снегозапас 157% нормы"", ""impact"": -1.6}, {""name"": ""Осадки Nov–Mar 171 мм"", ""impact"": 1.36}, {""name"": ""Осадки 114% нормы"", ""impact"": 0.74}]"
Шукирлик,53.2726138,67.7886323,0.1,"[{""name"": ""Осадки Nov–Mar 166 мм"", ""impact"": 1.7}, {""name"": ""Осадки 112% нормы"", ""impact"": 1.68}, {""name"": ""Высота 270 м"", ""impact"": -1.56}, {""name"": ""Снегозапас 121 мм"", ""impact"": 0.91}]"
Налобино,55.2455423,68.7915428,4.5,"[{""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 2.44}, {""name"": ""Осадки 103% нормы"", ""impact"": 2.12}, {""name"": ""Снегозапас 115% нормы"", ""impact"": 1.49}, {""name"": ""Превышение над рекой 55 м"", ""impact"": -1.27}]"
Бостандык,53.948696,71.406944,6.1,"[{""name"": ""Превышение над рекой -6 м"", ""impact"": 2.5}, {""name"": ""Осадки 100% нормы"", ""impact"": 2.3}, {""name"": ""Высота 93 м"", ""impact"": 1.22}, {""name"": ""Осадки Nov–Mar 116 мм"", ""impact"": 1.01}]"
Кишкенеколь,53.6357326,72.3411085,0.1,"[{""name"": ""Осадки 96% нормы"", ""impact"": 2.26}, {""name"": ""Население 6590"", ""impact"": 1.33}, {""name"": ""Осадки Nov–Mar 107 мм"", ""impact"": -0.88}, {""name"": ""Снегозапас 78 мм"", ""impact"": -0.85}]"
Акжаркын,53.6813187,71.3078338,0.0,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 111 мм"", ""impact"": -1.13}, {""name"": ""Снегозапас 156% нормы"", ""impact"": -0.94}, {""name"": ""Снегозапас 78 мм"", ""impact"": -0.9}]"
Камышлово,54.782906,69.674385,3.5,"[{""name"": ""Осадки Nov–Mar 144 мм"", ""impact"": 2.49}, {""name"": ""Осадки 107% нормы"", ""impact"": 2.3}, {""name"": ""Снегозапас 126% нормы"", ""impact"": 1.31}, {""name"": ""Превышение над рекой 35 м"", ""impact"": -1.22}]"
Рузаевка,52.821907,66.952431,6.1,"[{""name"": ""Высота 222 м"", ""impact"": -2.49}, {""name"": ""Население 3339"", ""impact"": 2.09}, {""name"": ""Осадки Nov–Mar 169 мм"", ""impact"": 1.7}, {""name"": ""Снегозапас 137% нормы"", ""impact"": 1.39}]"
Сивковка,52.848736,66.981255,1.6,"[{""name"": ""Высота 223 м"", ""impact"": -2.36}, {""name"": ""Осадки Nov–Mar 169 мм"", ""impact"": 1.95}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.74}, {""name"": ""Снегозапас 137% нормы"", ""impact"": 1.46}]"
Ломоносовка,52.803749,66.465874,0.0,"[{""name"": ""Высота 198 м"", ""impact"": -2.16}, {""name"": ""Снегозапас 158% нормы"", ""impact"": -1.59}, {""name"": ""Осадки Nov–Mar 166 мм"", ""impact"": 1.36}, {""name"": ""Река в 0.7 км"", ""impact"": -0.8}]"
Ставрополка,52.835926,66.559067,0.0,"[{""name"": ""Высота 190 м"", ""impact"": -2.16}, {""name"": ""Снегозапас 152% нормы"", ""impact"": -1.59}, {""name"": ""Осадки Nov–Mar 166 мм"", ""impact"": 1.36}, {""name"": ""Река в 1.0 км"", ""impact"": -0.8}]"
Белое,54.936493,69.203117,12.0,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.57}, {""name"": ""Осадки 105% нормы"", ""impact"": 1.79}, {""name"": ""Снегозапас 124% нормы"", ""impact"": 1.64}, {""name"": ""Превышение над рекой 41 м"", ""impact"": -1.32}]"
Новоникольское,55.02475,69.493172,4.4,"[{""name"": ""Осадки Nov–Mar 142 мм"", ""impact"": 2.62}, {""name"": ""Осадки 104% нормы"", ""impact"": 2.26}, {""name"": ""Превышение над рекой 47 м"", ""impact"": -1.23}, {""name"": ""Снегозапас 122% нормы"", ""impact"": 1.15}]"
Пеньково,54.965187,69.244598,6.7,"[{""name"": ""Осадки Nov–Mar 142 мм"", ""impact"": 2.53}, {""name"": ""Осадки 104% нормы"", ""impact"": 1.8}, {""name"": ""Снегозапас 121% нормы"", ""impact"": 1.52}, {""name"": ""Превышение над рекой 45 м"", ""impact"": -1.33}]"
Тахтаброд,52.633469,67.579048,1.8,"[{""name"": ""Высота 269 м"", ""impact"": -2.53}, {""name"": ""Осадки Nov–Mar 157 мм"", ""impact"": 1.89}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.54}, {""name"": ""Снегозапас 121% нормы"", ""impact"": 1.52}]"
Бесколь,54.775146,69.097794,99.4,"[{""name"": ""Население 13149"", ""impact"": 3.08}, {""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.45}, {""name"": ""Высота 111 м"", ""impact"": 2.28}, {""name"": ""Река в 3.4 км"", ""impact"": 1.85}]"
Чапаево,54.631702,69.152771,5.2,"[{""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 2.49}, {""name"": ""Осадки 111% нормы"", ""impact"": 2.23}, {""name"": ""Снегозапас 135% нормы"", ""impact"": 1.4}, {""name"": ""Превышение над рекой 45 м"", ""impact"": -1.31}]"
Кырымбет,52.459782,67.76239,1.6,"[{""name"": ""Осадки 97% нормы"", ""impact"": 2.26}, {""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 1.9}, {""name"": ""Снегозапас 119% нормы"", ""impact"": 1.21}, {""name"": ""Высота 334 м"", ""impact"": -1.15}]"
Ковыльное,52.5746,67.687767,0.6,"[{""name"": ""Снегозапас 120% нормы"", ""impact"": 1.93}, {""name"": ""Высота 301 м"", ""impact"": -1.83}, {""name"": ""Осадки Nov–Mar 155 мм"", ""impact"": 1.82}, {""name"": ""Река в 0.4 км"", ""impact"": -1.52}]"
Сокологоровка,52.507038,67.873611,0.6,"[{""name"": ""Осадки 97% нормы"", ""impact"": 1.88}, {""name"": ""Осадки Nov–Mar 147 мм"", ""impact"": 1.83}, {""name"": ""Снегозапас 116% нормы"", ""impact"": 1.43}, {""name"": ""Высота 375 м"", ""impact"": -1.3}]"
Привольное,52.6008281,67.8253627,0.4,"[{""name"": ""Осадки Nov–Mar 154 мм"", ""impact"": 1.96}, {""name"": ""Высота 315 м"", ""impact"": -1.76}, {""name"": ""Снегозапас 118% нормы"", ""impact"": 1.63}, {""name"": ""Река в 0.4 км"", ""impact"": -1.62}]"
Аканбурлык,52.6149159,68.049995,0.1,"[{""name"": ""Осадки Nov–Mar 150 мм"", ""impact"": 1.83}, {""name"": ""Высота 364 м"", ""impact"": -1.81}, {""name"": ""Река в 0.4 км"", ""impact"": -1.42}, {""name"": ""Снегозапас 113% нормы"", ""impact"": 1.36}]"
Акшокы,52.68491,67.880547,1.7,"[{""name"": ""Осадки Nov–Mar 156 мм"", ""impact"": 1.95}, {""name"": ""Осадки 99% нормы"", ""impact"": 1.87}, {""name"": ""Снегозапас 115% нормы"", ""impact"": 1.42}, {""name"": ""Высота 369 м"", ""impact"": -1.31}]"
Красново,52.5966847,67.907696,0.4,"[{""name"": ""Осадки Nov–Mar 152 мм"", ""impact"": 2.01}, {""name"": ""Высота 323 м"", ""impact"": -1.89}, {""name"": ""Река в 0.3 км"", ""impact"": -1.66}, {""name"": ""Превышение над рекой 2 м"", ""impact"": 1.59}]"
Куспек,52.742474,67.998177,17.8,"[{""name"": ""Снегозапас 113% нормы"", ""impact"": 2.2}, {""name"": ""Осадки 98% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 155 мм"", ""impact"": 1.97}, {""name"": ""Высота 368 м"", ""impact"": -1.5}]"
Тимирязево,53.7481615,66.4954458,0.5,"[{""name"": ""Осадки 116% нормы"", ""impact"": 2.07}, {""name"": ""Население 3998"", ""impact"": 1.58}, {""name"": ""Осадки Nov–Mar 163 мм"", ""impact"": 1.38}, {""name"": ""Высота 172 м"", ""impact"": -1.13}]"
Вишневка,54.9407291,69.0741755,26.0,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 3.02}, {""name"": ""Высота 100 м"", ""impact"": 2.08}, {""name"": ""Снегозапас 126% нормы"", ""impact"": 1.03}, {""name"": ""Осадки 105% нормы"", ""impact"": 1.03}]"
Якорь,54.959206,69.034576,76.9,"[{""name"": ""Осадки Nov–Mar 142 мм"", ""impact"": 2.81}, {""name"": ""Высота 102 м"", ""impact"": 1.68}, {""name"": ""Осадки 104% нормы"", ""impact"": 1.66}, {""name"": ""Население 2060"", ""impact"": 1.32}]"
Затон,54.8549472,68.9933737,91.2,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.7}, {""name"": ""Высота 107 м"", ""impact"": 2.24}, {""name"": ""Снегозапас 127% нормы"", ""impact"": 1.68}, {""name"": ""Превышение над рекой 14 м"", ""impact"": 1.32}]"
Кривоозёрка,54.8717546,68.99711,99.4,"[{""name"": ""Превышение над рекой 7 м"", ""impact"": 2.91}, {""name"": ""Высота 103 м"", ""impact"": 2.56}, {""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.33}, {""name"": ""Население 142"", ""impact"": 1.42}]"
Тепличное,54.8329505,69.0915477,99.6,"[{""name"": ""Превышение над рекой 7 м"", ""impact"": 2.75}, {""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.69}, {""name"": ""Река в 2.5 км"", ""impact"": 2.54}, {""name"": ""Высота 100 м"", ""impact"": 2.48}]"
Прибрежное,54.819756,69.090256,99.8,"[{""name"": ""Река в 2.7 км"", ""impact"": 3.0}, {""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.55}, {""name"": ""Высота 103 м"", ""impact"": 2.31}, {""name"": ""Население 1793"", ""impact"": 2.26}]"
Знаменское,54.901402,69.597755,4.9,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.43}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.1}, {""name"": ""Снегозапас 122% нормы"", ""impact"": 1.49}, {""name"": ""Превышение над рекой 48 м"", ""impact"": -1.27}]"
Михайловка,54.892441,69.462555,7.2,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.61}, {""name"": ""Осадки 105% нормы"", ""impact"": 2.26}, {""name"": ""Превышение над рекой 41 м"", ""impact"": -1.24}, {""name"": ""Снегозапас 123% нормы"", ""impact"": 1.15}]"
Байсал,54.895233,69.553108,6.1,"[{""name"": ""Осадки Nov–Mar 143 мм"", ""impact"": 2.61}, {""name"": ""Осадки 106% нормы"", ""impact"": 2.18}, {""name"": ""Превышение над рекой 40 м"", ""impact"": -1.24}, {""name"": ""Снегозапас 122% нормы"", ""impact"": 1.15}]"
Ленинское,54.473019,69.182556,0.5,"[{""name"": ""Осадки Nov–Mar 149 мм"", ""impact"": 2.29}, {""name"": ""Осадки 112% нормы"", ""impact"": 2.0}, {""name"": ""Превышение над рекой 42 м"", ""impact"": -1.27}, {""name"": ""Высота 142 м"", ""impact"": 0.67}]"
Смирново,54.51453,69.419189,4.8,"[{""name"": ""Осадки Nov–Mar 148 мм"", ""impact"": 2.24}, {""name"": ""Осадки 111% нормы"", ""impact"": 2.08}, {""name"": ""Население 5650"", ""impact"": 1.85}, {""name"": ""Превышение над рекой 40 м"", ""impact"": -1.11}]"
Рощинское,54.058678,69.143158,35.1,"[{""name"": ""Превышение над рекой 3 м"", ""impact"": 2.78}, {""name"": ""Осадки Nov–Mar 144 мм"", ""impact"": 2.6}, {""name"": ""Осадки 115% нормы"", ""impact"": 2.08}, {""name"": ""Высота 138 м"", ""impact"": 1.11}]"
Архангельское,54.7801156,68.9461997,94.7,"[{""name"": ""Осадки Nov–Mar 145 мм"", ""impact"": 2.56}, {""name"": ""Высота 112 м"", ""impact"": 2.26}, {""name"": ""Снегозапас 132% нормы"", ""impact"": 2.13}, {""name"": ""Превышение над рекой 17 м"", ""impact"": 1.37}]"
Новокаменка,54.711693,68.983734,95.5,"[{""name"": ""Высота 105 м"", ""impact"": 2.46}, {""name"": ""Осадки Nov–Mar 147 мм"", ""impact"": 2.45}, {""name"": ""Снегозапас 135% нормы"", ""impact"": 1.97}, {""name"": ""Превышение над рекой 11 м"", ""impact"": 1.68}]"
