name,lat,lon,score,factors_json
Ганькино,54.8872159,70.1104856,9.1,"[{""name"": ""Осадки Nov–Mar 135 мм"", ""impact"": 2.75}, {""name"": ""Осадки 101% нормы"", ""impact"": 2.32}, {""name"": ""Снегозапас 138% нормы"", ""impact"": 1.15}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.05}]"
Новоишимское,53.2025913,66.7929531,4.5,"[{""name"": ""Река в 2.4 км"", ""impact"": 2.42}, {""name"": ""Население 7474"", ""impact"": 2.29}, {""name"": ""Высота 183 м"", ""impact"": -1.93}, {""name"": ""Осадки Nov–Mar 132 мм"", ""impact"": 1.67}]"
Сергеевка,53.880951,67.415863,14.1,"[{""name"": ""Осадки Nov–Mar 133 мм"", ""impact"": 2.29}, {""name"": ""Население 8112"", ""impact"": 2.28}, {""name"": ""Снегозапас 137% нормы"", ""impact"": 1.31}, {""name"": ""Осадки 94% нормы"", ""impact"": 0.79}]"
Имантау,52.9767986,68.3662059,4.8,"[{""name"": ""Высота 331 м"", ""impact"": -1.83}, {""name"": ""Осадки Nov–Mar 130 мм"", ""impact"": 1.81}, {""name"": ""Осадки 91% нормы"", ""impact"": 1.63}, {""name"": ""Превышение над рекой 6 м"", ""impact"": 1.36}]"
Тайынша,53.847736,69.761436,8.8,"[{""name"": ""Река в 2.1 км"", ""impact"": 2.11}, {""name"": ""Превышение над рекой 7 м"", ""impact"": 1.82}, {""name"": ""Население 13037"", ""impact"": 1.77}, {""name"": ""Снегозапас 72 мм"", ""impact"": -1.39}]"
Чистополье,52.5617672,67.250694,1.3,"[{""name"": ""Население 2078"", ""impact"": 2.12}, {""name"": ""Высота 268 м"", ""impact"": -1.96}, {""name"": ""Осадки Nov–Mar 139 мм"", ""impact"": 1.58}, {""name"": ""Снегозапас 118% нормы"", ""impact"": 1.28}]"
Леонидовка,53.967728,69.529213,1.0,"[{""name"": ""Осадки Nov–Mar 123 мм"", ""impact"": 2.29}, {""name"": ""Осадки 101% нормы"", ""impact"": 2.0}, {""name"": ""Снегозапас 155% нормы"", ""impact"": -1.3}, {""name"": ""Снегозапас 84 мм"", ""impact"": -0.98}]"
Талшик,53.6433864,71.8767545,0.1,"[{""name"": ""Осадки 97% нормы"", ""impact"": 2.22}, {""name"": ""Осадки Nov–Mar 108 мм"", ""impact"": -1.78}, {""name"": ""Снегозапас 69 мм"", ""impact"": -1.47}, {""name"": ""Превышение над рекой -37 м"", ""impact"": 0.87}]"
Казанское,53.758011,71.667969,5.7,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.36}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.72}, {""name"": ""Снегозапас 136% нормы"", ""impact"": 1.12}, {""name"": ""Снегозапас 67 мм"", ""impact"": -1.07}]"
Аксай,53.8858349,71.7522188,2.1,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.43}, {""name"": ""Превышение над рекой -11 м"", ""impact"": 1.45}, {""name"": ""Снегозапас 133% нормы"", ""impact"": 0.82}, {""name"": ""Высота 103 м"", ""impact"": 0.8}]"
Восходское,54.0110223,71.7696188,6.0,"[{""name"": ""Осадки 99% нормы"", ""impact"": 2.38}, {""name"": ""Превышение над рекой -29 м"", ""impact"": 1.65}, {""name"": ""Снегозапас 128% нормы"", ""impact"": 1.12}, {""name"": ""Снегозапас 90 мм"", ""impact"": -1.01}]"
Баймырза,54.1895179,71.7826683,0.6,"[{""name"": ""Осадки 100% нормы"", ""impact"": 2.49}, {""name"": ""Снегозапас 138% нормы"", ""impact"": 1.25}, {""name"": ""Превышение над рекой 61 м"", ""impact"": -1.02}, {""name"": ""Осадки Nov–Mar 118 мм"", ""impact"": 0.8}]"
Амандык,53.467529,70.401955,0.0,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 107 мм"", ""impact"": -0.98}, {""name"": ""Снегозапас 56 мм"", ""impact"": -0.56}, {""name"": ""Превышение над рекой 48 м"", ""impact"": -0.53}]"
Жанадаур,53.39994,70.478836,0.0,"[{""name"": ""Осадки 97% нормы"", ""impact"": 2.17}, {""name"": ""Осадки Nov–Mar 106 мм"", ""impact"": -1.0}, {""name"": ""Снегозапас 148% нормы"", ""impact"": -0.65}, {""name"": ""Превышение над рекой 75 м"", ""impact"": -0.53}]"
Ильичёвка,53.502098,70.388092,0.0,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 107 мм"", ""impact"": -0.89}, {""name"": ""Снегозапас 56 мм"", ""impact"": -0.56}, {""name"": ""Превышение над рекой 69 м"", ""impact"": -0.53}]"
Келлеровка,53.8399016,69.3021305,0.4,"[{""name"": ""Осадки 97% нормы"", ""impact"": 2.16}, {""name"": ""Превышение над рекой 5 м"", ""impact"": 1.34}, {""name"": ""Снегозапас 74 мм"", ""impact"": -1.07}, {""name"": ""Высота 169 м"", ""impact"": -0.87}]"
Черниговское,53.9016285,69.0069999,2.6,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.32}, {""name"": ""Превышение над рекой -55 м"", ""impact"": 1.9}, {""name"": ""Осадки Nov–Mar 122 мм"", ""impact"": 1.26}, {""name"": ""Снегозапас 152% нормы"", ""impact"": -0.75}]"
Красная Поляна,53.941536,68.982285,1.6,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.3}, {""name"": ""Превышение над рекой -1 м"", ""impact"": 1.93}, {""name"": ""Осадки Nov–Mar 122 мм"", ""impact"": 1.29}, {""name"": ""Снегозапас 87 мм"", ""impact"": -0.91}]"
Доброжановка,53.966927,69.049385,13.6,"[{""name"": ""Осадки Nov–Mar 124 мм"", ""impact"": 2.77}, {""name"": ""Осадки 99% нормы"", ""impact"": 2.14}, {""name"": ""Превышение над рекой -15 м"", ""impact"": 1.93}, {""name"": ""Снегозапас 80 мм"", ""impact"": -0.86}]"
Глубокое,53.856407,69.045097,1.3,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.28}, {""name"": ""Превышение над рекой 2 м"", ""impact"": 2.04}, {""name"": ""Осадки Nov–Mar 122 мм"", ""impact"": 0.92}, {""name"": ""Высота 169 м"", ""impact"": -0.75}]"
Нагорное,53.961876,69.410736,1.9,"[{""name"": ""Осадки Nov–Mar 123 мм"", ""impact"": 2.36}, {""name"": ""Осадки 100% нормы"", ""impact"": 2.04}, {""name"": ""Снегозапас 155% нормы"", ""impact"": -1.17}, {""name"": ""Высота 149 м"", ""impact"": 0.88}]"
Дружба,52.586021,66.491188,0.3,"[{""name"": ""Снегозапас 122% нормы"", ""impact"": 2.03}, {""name"": ""Осадки Nov–Mar 125 мм"", ""impact"": 1.76}, {""name"": ""Высота 201 м"", ""impact"": -1.55}, {""name"": ""Снегозапас 92 мм"", ""impact"": -0.74}]"
Дауит,53.6091041,71.4755852,0.1,"[{""name"": ""Осадки Nov–Mar 108 мм"", ""impact"": -2.14}, {""name"": ""Осадки 97% нормы"", ""impact"": 1.91}, {""name"": ""Превышение над рекой -3 м"", ""impact"": 1.21}, {""name"": ""Снегозапас 69 мм"", ""impact"": -1.12}]"
Алкатерек,53.45146,71.244014,0.1,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.39}, {""name"": ""Осадки Nov–Mar 108 мм"", ""impact"": -1.13}, {""name"": ""Снегозапас 140% нормы"", ""impact"": 1.08}, {""name"": ""Снегозапас 72 мм"", ""impact"": -0.64}]"
Целинное,53.5573909,70.7104133,0.1,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.04}, {""name"": ""Осадки Nov–Mar 109 мм"", ""impact"": -1.55}, {""name"": ""Снегозапас 144% нормы"", ""impact"": 1.18}, {""name"": ""Снегозапас 73 мм"", ""impact"": -0.58}]"
Аккудук,53.655956,70.810074,0.1,"[{""name"": ""Осадки 98% нормы"", ""impact"": 2.0}, {""name"": ""Осадки Nov–Mar 110 мм"", ""impact"": -1.68}, {""name"": ""Снегозапас 143% нормы"", ""impact"": 1.32}, {""name"": ""Снегозапас 72 мм"", ""impact"": -1.06}]"
Мамлютка,54.9376951,68.5386509,9.2,"[{""name"": ""Осадки Nov–Mar 127 мм"", ""impact"": 2.32}, {""name"": ""Осадки 94% нормы"", ""impact"": 2.13}, {""name"": ""Население 6944"", ""impact"": 1.27}, {""name"": ""Превышение над рекой 38 м"", ""impact"": -1.1}]"
Покровка,54.3010634,68.3552371,55.3,"[{""name"": ""Население 1643"", ""impact"": 2.43}, {""name"": ""Осадки Nov–Mar 130 мм"", ""impact"": 2.3}, {""name"": ""Высота 116 м"", ""impact"": 1.9}, {""name"": ""Превышение над рекой 9 м"", ""impact"": 0.85}]"
Петропавловск,54.8668104,69.1334984,99.0,"[{""name"": ""Население 222703"", ""impact"": 3.86}, {""name"": ""Река в 2.0 км"", ""impact"": 3.09}, {""name"": ""Осадки Nov–Mar 132 мм"", ""impact"": 2.53}, {""name"": ""Высота 138 м"", ""impact"": 1.6}]"
Булаево,54.896652,70.447189,9.1,"[{""name"": ""Осадки Nov–Mar 136 мм"", ""impact"": 2.28}, {""name"": ""Осадки 102% нормы"", ""impact"": 2.13}, {""name"": ""Население 8550"", ""impact"": 1.24}, {""name"": ""Превышение над рекой 50 м"", ""impact"": -1.05}]"
Токуши,54.85788,69.717262,9.2,"[{""name"": ""Осадки Nov–Mar 135 мм"", ""impact"": 2.33}, {""name"": ""Осадки 100% нормы"", ""impact"": 2.13}, {""name"": ""Население 1634"", ""impact"": 1.23}, {""name"": ""Превышение над рекой 35 м"", ""impact"": -1.09}]"
Полудино,54.862617,69.919205,9.1,"[{""name"": ""Осадки Nov–Mar 135 мм"", ""impact"": 2.28}, {""name"": ""Осадки 100% нормы"", ""impact"": 2.13}, {""name"": ""Население 1221"", ""impact"": 1.22}, {""name"": ""Снегозапас 140% нормы"", ""impact"": 1.04}]"
Чистое,54.915241,70.724121,12.0,"[{""name"": ""Осадки Nov–Mar 138 мм"", ""impact"": 2.82}, {""name"": ""Осадки 105% нормы"", ""impact"": 2.32}, {""name"": ""Снегозапас 143% нормы"", ""impact"": 1.21}, {""name"": ""Превышение над рекой 37 м"", ""impact"": -1.1}]"
Каракога,54.904881,70.816818,9.1,"[{""name"": ""Осадки Nov–Mar 138 мм"", ""impact"": 2.28}, {""name"": ""Осадки 105% нормы"", ""impact"": 2.13}, {""name"": ""Население 1726"", ""impact"": 1.26}, {""name"": ""Превышение над рекой 46 м"", ""impact"": -1.05}]"
Пресновка,54.6686113,67.1452217,0.0,"[{""name"": ""Снегозапас 94 мм"", ""impact"": -1.24}, {""name"": ""Река в 68.2 км"", ""impact"": -1.21}, {""name"": ""Снегозапас 117% нормы"", ""impact"": 0.96}, {""name"": ""Осадки Nov–Mar 118 мм"", ""impact"": 0.91}]"
Айыртау,53.1585244,68.333889,1.9,"[{""name"": ""Осадки 92% нормы"", ""impact"": 2.2}, {""name"": ""Осадки Nov–Mar 127 мм"", ""impact"": 1.7}, {""name"": ""Снегозапас 120% нормы"", ""impact"": 1.56}, {""name"": ""Высота 321 м"", ""impact"": -1.0}]"
Лобаново,53.092365,68.433052,0.7,"[{""name"": ""Осадки 91% нормы"", ""impact"": 2.19}, {""name"": ""Осадки Nov–Mar 128 мм"", ""impact"": 1.68}, {""name"": ""Снегозапас 116% нормы"", ""impact"": 1.37}, {""name"": ""Высота 382 м"", ""impact"": -1.05}]"
